collection_handle,collection_id,collection_title,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d,position
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,lavinia-dress-1,10833890148685,Lavinia Dress,0.74,New,no,539,85
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,rafaela-jumsuit,10834723832141,Rafaela Jumsuit,0.74,New,no,524,86
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,melisande-top,10831618048333,Althea Top,0.73,New,no,138,87
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,daria-cape,10831632204109,Daria  Cape,0.73,New,no,384,88
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,aviana-dress,10833949294925,Aviana Dress,0.72,New,no,450,89
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,azelie-dress,10833853940045,Azélie Dress,0.71,New,no,426,90
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,sereia-kimono,10833841258829,Sereia Kimono,0.71,New,no,461,91
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,mirea-limited,10833998643533,Mirea LIMITED,0.70,New,no,443,92
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,calista-top,10831609299277,Calista Top,0.69,New,no,207,93
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,aveline-skirt,10831781691725,Aveline Skirt,0.69,New,no,171,94
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,odelia-dress-1,10833920721229,Odelia Dress,0.69,New,no,394,95
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,inessa-dress,10833969807693,Inessa Dress,0.69,New,no,382,96
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,oriella-kimono,10833820385613,Oriella Kimono,0.68,New,no,397,97
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,elara-top,10831695315277,Elara Top,0.68,New,no,222,98
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,mirea-dress,10833985175885,Mirea Dress,0.67,New,no,179,99
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,zinnia-cape,10834735432013,Zinnia Cape,0.67,New,no,192,100
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,maelle-skirt,10831789752653,Maelle Skirt,0.67,New,no,230,101
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,novalie-dress,10833931174221,Novalie Dress,0.66,New,no,206,102
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,vianne-dress,10833912070477,Vianne Dress,0.66,New,no,355,103
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,faline-dress-copy,10847566528845,Rosalie Dress,0.66,New,no,362,104
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,lysandra-skirt,10833814716749,Lysandra Skirt,0.66,New,no,186,105
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,malina-dress,10834710036813,Malina Dress,0.66,New,no,353,106
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,leonora-cape,10831717695821,Leonora Cape,0.66,New,no,190,107
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,maristella-cape-1,10834734645581,Maristella Cape,0.65,New,no,283,108
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,althea-skirt,10833805377869,Althea  Skirt,0.65,New,no,362,109
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,tessa-dress,10834101633357,Tessa Dress,0.65,New,no,370,110
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,talia-dress-1,10834083283277,Talia Dress,0.65,New,no,261,111
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,eulalia-skirt,10833806360909,Eulalia Skirt,0.65,New,no,298,112
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,leandra-dress-1,10833971741005,Leandra Dress,0.65,New,no,339,113
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,katia-jumsuit,10834722324813,Katia Jumsuit,0.64,New,no,347,114
